                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.95632,                 0.5957,                 1.2358,                0.88276,                0.97064,                0.91707,                0.62189,                  1.286,                0.76627,                 1.6031,             0.00071402,             0.00071402,             0.00071402
                     68,                0.95544,                0.57997,                 1.2277,                0.93606,                0.98438,                0.94776,                0.59928,                 1.3783,                0.53481,                 1.6513,             0.00071102,             0.00071102,             0.00071102
                     69,                0.94626,                0.60035,                 1.2377,                0.92642,                0.98438,                0.94697,                0.61577,                 1.2869,                0.52482,                 1.5403,             0.00070802,             0.00070802,             0.00070802
                     70,                0.94855,                0.60488,                 1.2239,                0.86783,                0.97059,                0.91066,                0.59258,                 1.2853,                0.64118,                 1.5859,             0.00070502,             0.00070502,             0.00070502
                     71,                0.95512,                0.58367,                 1.2281,                0.90099,                0.99874,                0.95631,                0.60545,                 1.2869,                0.62006,                 1.5468,             0.00070202,             0.00070202,             0.00070202
                     72,                0.97795,                0.60341,                 1.2716,                0.96153,                0.98438,                0.95512,                0.62755,                 1.3393,                0.51394,                 1.6021,             0.00069902,             0.00069902,             0.00069902
                     73,                0.96255,                0.58634,                 1.2478,                0.97673,                      1,                  0.995,                0.63479,                  1.319,                 0.5349,                 1.5725,             0.00069602,             0.00069602,             0.00069602
                     74,                0.98132,                0.59207,                 1.2434,                0.90194,                0.98232,                0.93311,                0.59164,                  1.376,                0.65613,                 1.6595,             0.00069302,             0.00069302,             0.00069302
                     75,                0.94836,                0.58491,                  1.251,                0.92385,                0.98438,                0.97649,                0.63561,                 1.3501,                0.60635,                  1.633,             0.00069002,             0.00069002,             0.00069002
                     76,                0.96058,                0.59129,                 1.2421,                0.91387,                0.98438,                0.94345,                0.60572,                 1.3174,                0.56582,                 1.5985,             0.00068702,             0.00068702,             0.00068702
                     77,                0.94171,                0.57496,                 1.2284,                0.94461,                0.98438,                0.95752,                 0.6164,                 1.3058,                0.54938,                 1.5765,             0.00068402,             0.00068402,             0.00068402
                     78,                0.95927,                0.59114,                 1.2286,                0.92155,                0.98438,                0.96945,                0.61955,                 1.3108,                0.53208,                 1.6016,             0.00068102,             0.00068102,             0.00068102
                     79,                0.94962,                 0.5654,                 1.2259,                0.94941,                0.97318,                0.97194,                0.64335,                 1.3206,                0.53504,                 1.5801,             0.00067802,             0.00067802,             0.00067802
                     80,                0.96379,                0.58305,                 1.2362,                0.93302,                0.94809,                0.94654,                0.62981,                 1.3351,                0.55098,                 1.6205,             0.00067502,             0.00067502,             0.00067502
                     81,                0.94042,                0.57405,                 1.2231,                0.95883,                0.98438,                0.97931,                 0.6194,                 1.3332,                0.50942,                 1.5958,             0.00067202,             0.00067202,             0.00067202
                     82,                0.94597,                0.58836,                  1.232,                0.93997,                0.97959,                0.97437,                0.59443,                 1.4243,                0.56176,                 1.6639,             0.00066902,             0.00066902,             0.00066902
                     83,                0.96316,                 0.5856,                 1.2157,                0.86111,                0.97825,                0.89615,                0.58947,                  1.371,                0.58197,                 1.5982,             0.00066602,             0.00066602,             0.00066602
                     84,                0.91548,                0.56285,                 1.2114,                0.88228,                0.98738,                0.94866,                 0.6194,                 1.2604,                 0.5614,                 1.5102,             0.00066302,             0.00066302,             0.00066302
                     85,                   0.94,                0.59412,                 1.2322,                0.99147,                0.92736,                0.98474,                0.59615,                 1.3597,                0.58733,                 1.6202,             0.00066002,             0.00066002,             0.00066002
                     86,                0.92653,                0.59499,                 1.2159,                0.88941,                0.96655,                0.93494,                0.59514,                 1.3546,                0.63953,                 1.6883,             0.00065703,             0.00065703,             0.00065703
                     87,                0.92887,                0.57324,                 1.2305,                0.89575,                0.96732,                0.93233,                0.61826,                 1.2985,                0.67274,                 1.5961,             0.00065403,             0.00065403,             0.00065403
                     88,                0.92817,                0.55485,                 1.2158,                0.97134,                0.98438,                0.97743,                0.64688,                 1.2323,                0.51678,                 1.5126,             0.00065103,             0.00065103,             0.00065103
                     89,                0.91962,                0.55571,                 1.2112,                0.96372,                0.97284,                0.98049,                0.64452,                 1.2243,                0.56725,                 1.5404,             0.00064803,             0.00064803,             0.00064803
                     90,                0.93113,                0.56736,                 1.2144,                0.91154,                      1,                0.97562,                0.64812,                 1.2222,                0.58594,                 1.5213,             0.00064503,             0.00064503,             0.00064503
                     91,                0.90797,                0.56685,                 1.2139,                0.97247,                      1,                0.99412,                0.63027,                 1.3041,                0.51488,                  1.584,             0.00064203,             0.00064203,             0.00064203
                     92,                0.92381,                0.55634,                 1.2257,                0.99332,                0.96781,                0.99333,                0.64017,                 1.2979,                0.49668,                 1.5445,             0.00063903,             0.00063903,             0.00063903
                     93,                0.91278,                0.56012,                 1.2072,                 0.9819,                      1,                  0.995,                0.68039,                 1.2253,                0.50512,                 1.4804,             0.00063603,             0.00063603,             0.00063603
                     94,                0.91461,                0.53902,                 1.2041,                0.88073,                0.98438,                0.92126,                0.60737,                 1.2196,                0.65962,                 1.4815,             0.00063303,             0.00063303,             0.00063303
                     95,                0.92278,                0.53516,                 1.2038,                0.85815,                      1,                0.89841,                0.59733,                 1.2809,                 0.7616,                 1.5472,             0.00063003,             0.00063003,             0.00063003
                     96,                0.93625,                 0.5599,                 1.2185,                0.98396,                0.98543,                  0.995,                0.65039,                 1.2571,                0.56676,                 1.5358,             0.00062703,             0.00062703,             0.00062703
                     97,                0.88735,                0.53205,                 1.1987,                0.97746,                      1,                  0.995,                0.64586,                 1.2342,                0.51893,                  1.541,             0.00062403,             0.00062403,             0.00062403
                     98,                0.91223,                0.55744,                 1.2015,                0.98915,                0.99708,                  0.995,                0.62614,                 1.2367,                0.51484,                 1.4993,             0.00062103,             0.00062103,             0.00062103
                     99,                0.88256,                0.54037,                 1.1864,                 0.9897,                      1,                  0.995,                0.64886,                 1.2913,                0.50244,                 1.5634,             0.00061803,             0.00061803,             0.00061803
                    100,                0.89629,                0.54157,                 1.2239,                0.98559,                0.99853,                  0.995,                 0.6533,                 1.2166,                0.49902,                  1.485,             0.00061503,             0.00061503,             0.00061503
                    101,                0.87286,                0.52359,                 1.1949,                0.97675,                0.99545,                0.99044,                0.65193,                 1.1971,                 0.5026,                 1.4486,             0.00061203,             0.00061203,             0.00061203
                    102,                0.88015,                0.51831,                 1.1821,                0.97469,                0.96176,                0.99087,                 0.6468,                 1.2311,                0.50459,                 1.5081,             0.00060903,             0.00060903,             0.00060903
                    103,                0.88601,                0.55334,                 1.2017,                0.96365,                0.95585,                0.97472,                0.63105,                 1.2756,                0.58409,                  1.545,             0.00060603,             0.00060603,             0.00060603
                    104,                0.86991,                0.52815,                 1.1909,                0.99158,                0.97384,                0.99333,                0.65869,                 1.2637,                0.50335,                  1.512,             0.00060303,             0.00060303,             0.00060303
                    105,                0.87353,                0.53591,                 1.2018,                 0.9931,                0.98919,                  0.995,                0.65757,                 1.2377,                0.50361,                 1.5145,             0.00060003,             0.00060003,             0.00060003
