                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.7185,                 2.0953,                 2.3901,                0.69391,                0.69046,                0.75049,                0.39717,                 1.6261,                 1.5479,                 2.4335,              0.0010612,              0.0010612,              0.0010612
                     81,                 1.7181,                 1.9004,                 2.3757,                0.48056,                0.66667,                0.54834,                0.30884,                 1.7741,                 1.7879,                 2.5911,              0.0010565,              0.0010565,              0.0010565
                     82,                 1.8127,                 1.9141,                 2.4844,                0.56415,                0.60868,                 0.6674,                0.33005,                 1.7148,                 1.6219,                 2.5998,              0.0010517,              0.0010517,              0.0010517
                     83,                 1.7301,                 1.9424,                 2.3964,                0.55393,                0.76667,                 0.7201,                0.38301,                 1.6519,                 1.6295,                 2.4331,               0.001047,               0.001047,               0.001047
                     84,                 1.7759,                 2.0143,                 2.4013,                0.50911,                    0.7,                0.61886,                0.29885,                  1.799,                 1.7348,                 2.5904,              0.0010423,              0.0010423,              0.0010423
                     85,                 1.7256,                 1.9522,                 2.4129,                0.55965,                0.83333,                0.72316,                0.37634,                 1.5895,                 1.6662,                 2.4158,              0.0010376,              0.0010376,              0.0010376
                     86,                 1.7538,                  1.896,                 2.3867,                 0.5329,                    0.7,                0.72003,                0.37974,                 1.6551,                 1.8382,                 2.4226,              0.0010329,              0.0010329,              0.0010329
                     87,                 1.7329,                  1.915,                 2.3737,                 0.5122,                0.71535,                0.69428,                0.35155,                 1.6587,                 1.8013,                 2.4312,              0.0010282,              0.0010282,              0.0010282
                     88,                 1.7155,                 1.9287,                 2.3843,                 0.4709,                0.76667,                 0.6033,                0.30285,                 1.7404,                  1.916,                  2.558,              0.0010234,              0.0010234,              0.0010234
                     89,                 1.7678,                 1.9864,                  2.373,                 0.6941,                0.78877,                0.74871,                0.40969,                 1.6375,                 1.6669,                 2.4047,              0.0010187,              0.0010187,              0.0010187
                     90,                 1.6981,                 1.8144,                  2.348,                0.65336,                    0.7,                0.69518,                0.34553,                 1.7603,                 1.5863,                 2.5198,               0.001014,               0.001014,               0.001014
                     91,                 1.7154,                 1.7936,                 2.3572,                 0.7964,                0.79034,                0.83654,                0.43571,                 1.6239,                 1.4262,                 2.4182,              0.0010093,              0.0010093,              0.0010093
                     92,                 1.7327,                 1.8321,                  2.397,                0.68142,                0.73333,                0.82995,                0.42729,                 1.6685,                 1.5451,                 2.4418,              0.0010046,              0.0010046,              0.0010046
                     93,                 1.7011,                 1.8278,                 2.3593,                0.61873,                    0.8,                0.73956,                0.41713,                 1.6885,                 1.5934,                 2.4376,             0.00099987,             0.00099987,             0.00099987
                     94,                 1.6516,                 1.8647,                 2.2956,                0.59763,                0.76667,                0.76221,                0.44119,                 1.6753,                 1.5272,                 2.4214,             0.00099516,             0.00099516,             0.00099516
                     95,                 1.6663,                 1.8142,                  2.313,                0.59474,                    0.8,                0.77593,                0.41255,                 1.6956,                 1.4947,                 2.4386,             0.00099044,             0.00099044,             0.00099044
                     96,                 1.6724,                 1.8259,                  2.315,                0.69247,                0.56667,                  0.597,                0.27698,                 1.8911,                 1.8453,                 2.6589,             0.00098572,             0.00098572,             0.00098572
                     97,                 1.6743,                 1.8317,                 2.3336,                0.75054,                0.72521,                0.82273,                0.41227,                 1.6183,                 1.4324,                  2.364,             0.00098101,             0.00098101,             0.00098101
                     98,                 1.6085,                 1.7292,                 2.2582,                0.53606,                0.76971,                0.70047,                 0.3661,                  1.593,                 1.5538,                 2.3792,             0.00097629,             0.00097629,             0.00097629
                     99,                 1.6658,                 1.8043,                 2.3053,                0.69896,                    0.8,                0.81164,                0.44133,                 1.6178,                 1.4857,                 2.4537,             0.00097158,             0.00097158,             0.00097158
                    100,                 1.6793,                 1.7085,                 2.3608,                0.74807,                0.81288,                 0.8232,                0.46414,                 1.5862,                 1.3226,                 2.3799,             0.00096686,             0.00096686,             0.00096686
                    101,                 1.6233,                 1.6514,                 2.2376,                0.83895,                0.73333,                0.82418,                0.36929,                 1.7705,                 1.4293,                 2.5163,             0.00096215,             0.00096215,             0.00096215
                    102,                  1.638,                 1.7211,                 2.2464,                0.74952,                0.67559,                0.76971,                0.35872,                 1.6696,                 1.5294,                 2.4585,             0.00095743,             0.00095743,             0.00095743
                    103,                 1.6097,                 1.6788,                 2.2883,                0.51577,                0.71984,                0.58619,                0.30072,                 1.7169,                 1.8905,                 2.4598,             0.00095271,             0.00095271,             0.00095271
                    104,                 1.6562,                 1.7458,                 2.3093,                 0.5998,                0.83333,                0.77699,                0.36211,                 1.6521,                  2.187,                  2.342,               0.000948,               0.000948,               0.000948
                    105,                  1.647,                 1.6928,                 2.2579,                 0.7575,                    0.6,                0.77428,                0.42263,                 1.6284,                 1.4058,                 2.3945,             0.00094328,             0.00094328,             0.00094328
                    106,                 1.6229,                 1.7342,                 2.2936,                 0.6886,                0.78927,                0.76628,                0.41349,                 1.6146,                 1.4872,                 2.3706,             0.00093857,             0.00093857,             0.00093857
                    107,                 1.6083,                 1.7118,                 2.2595,                 0.8308,                0.87958,                0.86295,                0.43075,                 1.6671,                 1.4026,                 2.3729,             0.00093385,             0.00093385,             0.00093385
                    108,                 1.5598,                 1.6303,                 2.2216,                0.67951,                0.83868,                 0.8201,                0.43369,                 1.6362,                 1.3172,                 2.3429,             0.00092914,             0.00092914,             0.00092914
                    109,                 1.6519,                 1.6651,                 2.3158,                0.71437,                    0.8,                0.84013,                0.43431,                 1.6594,                 1.4104,                 2.3549,             0.00092442,             0.00092442,             0.00092442
                    110,                 1.6629,                 1.7385,                 2.2722,                0.69685,                0.83021,                0.80274,                0.47135,                 1.5286,                 1.4666,                  2.281,              0.0009197,              0.0009197,              0.0009197
                    111,                 1.6063,                 1.6671,                 2.2463,                0.75525,                0.76667,                0.80373,                 0.4001,                 1.6519,                 1.4118,                 2.3035,             0.00091499,             0.00091499,             0.00091499
